index,budget,genres,id,keywords,original_language,original_title,popularity,release_date,revenue,runtime,status,tagline,title,vote_average,vote_count,cast,director
35,150000000,Science Fiction Action Adventure,8373,egypt sun chaos symbol artifact,en,Transformers: Revenge of the Fallen,mid,19-06-2009,836297228,150.0,Released,Revenge is coming.,Transformers: Revenge of the Fallen,6.0,3138,Shia LaBeouf Megan Fox Josh Duhamel Rainn Wilson Tyrese Gibson,Michael Bay
36,210000000,Science Fiction Action Adventure,91314,sequel alien transformers giant robot robot,en,Transformers: Age of Extinction,blockbuster,25-06-2014,1091405097,165.0,Released,This is not war. It's extinction.,Transformers: Age of Extinction,5.8,3095,Mark Wahlberg Stanley Tucci Kelsey Grammer Nicola Peltz Jack Reynor,Michael Bay
37,200000000,Fantasy Adventure Family,68728,circus witch magic hope illusion,en,Oz: The Great and Powerful,mid,07-03-2013,491868548,130.0,Released,"In Oz, nothing is what it seems",Oz: The Great and Powerful,5.7,3530,James Franco Mila Kunis Rachel Weisz Michelle Williams Zach Braff,Sam Raimi
38,200000000,Action Adventure Fantasy,102382,obsession marvel comic sequel based on comic book electrocution,en,The Amazing Spider-Man 2,high,16-04-2014,705717432,142.0,Released,No more secrets.,The Amazing Spider-Man 2,6.5,4179,Andrew Garfield Emma Stone Jamie Foxx Dane DeHaan Campbell Scott,Marc Webb
39,170000000,Adventure Action Science Fiction,20526,artificial intelligence secret identity computer program dystopia computer,en,TRON: Legacy,high,10-12-2010,400062763,125.0,Released,The Game Has Changed.,TRON: Legacy,6.3,2841,Garrett Hedlund Jeff Bridges Olivia Wilde Bruce Boxleitner Yaya DaCosta,Joseph Kosinski
40,200000000,Animation Family Adventure Comedy,49013,car race sequel comedy anthropomorphism best friend,en,Cars 2,mid,11-06-2011,559852396,106.0,Released,Ka-ciao!,Cars 2,5.8,2033,Owen Wilson Larry the Cable Guy Michael Caine Emily Mortimer John Turturro,John Lasseter
41,200000000,Adventure Action Thriller Science Fiction,44912,dc comics transformation superhero alien alien infection,en,Green Lantern,mid,16-06-2011,219851172,114.0,Released,"In our darkest hour, there will be light.",Green Lantern,5.1,2487,Ryan Reynolds Blake Lively Peter Sarsgaard Tim Robbins Mark Strong,Martin Campbell
42,200000000,Animation Family Comedy,10193,hostage college toy barbie animation,en,Toy Story 3,mid,16-06-2010,1066969703,103.0,Released,No toy gets left behind.,Toy Story 3,7.6,4597,Tom Hanks Tim Allen Ned Beatty Joan Cusack Michael Keaton,Lee Unkrich
43,200000000,Action Science Fiction Thriller,534,saving the world artificial intelligence prophecy san francisco cyborg,en,Terminator Salvation,high,20-05-2009,371353001,115.0,Released,The End Begins.,Terminator Salvation,5.9,2463,Christian Bale Sam Worthington Anton Yelchin Moon Bloodgood Bryce Dallas Howard,McG
44,190000000,Action,168259,car race speed revenge suspense car,en,Furious 7,blockbuster,01-04-2015,1506249360,137.0,Released,Vengeance Hits Home,Furious 7,7.3,4176,Vin Diesel Paul Walker Dwayne Johnson Michelle Rodriguez Tyrese Gibson,James Wan
45,200000000,Action Drama Horror Science Fiction Thriller,72190,dystopia apocalypse zombie nuclear weapons multiple perspectives,en,World War Z,high,20-06-2013,531865000,116.0,Released,Remember Philly!,World War Z,6.7,5560,Brad Pitt Mireille Enos Abigail Hargrove Sterling Jerins James Badge Dale,Marc Forster
46,250000000,Action Adventure Fantasy Science Fiction,127585,1970s mutant time travel marvel comic based on comic book,en,X-Men: Days of Future Past,blockbuster,15-05-2014,747862775,131.0,Released,"To save the future, they must alter the past",X-Men: Days of Future Past,7.5,6032,Hugh Jackman James McAvoy Michael Fassbender Jennifer Lawrence Halle Berry,Bryan Singer
47,190000000,Action Adventure Science Fiction,54138,spacecraft friendship sequel futuristic space,en,Star Trek Into Darkness,high,05-05-2013,467365246,132.0,Released,Earth Will Fall,Star Trek Into Darkness,7.4,4418,Chris Pine Zachary Quinto Zoe Saldana Karl Urban Simon Pegg,J.J. Abrams
48,195000000,Action Family Fantasy,81005,based on fairy tale giant,en,Jack the Giant Slayer,mid,27-02-2013,197687603,114.0,Released,Prepare for a giant adventure,Jack the Giant Slayer,5.5,2598,Nicholas Hoult Eleanor Tomlinson Ewan McGregor Stanley Tucci Ian McShane,Bryan Singer
49,105000000,Drama Romance,64682,based on novel infidelity obsession hope 3d,en,The Great Gatsby,high,10-05-2013,351040419,143.0,Released,Reserving judgments is a matter of infinite hope... I come to the admission that it has a limit.,The Great Gatsby,7.3,3769,Leonardo DiCaprio Tobey Maguire Carey Mulligan Joel Edgerton Elizabeth Debicki,Baz Luhrmann
50,150000000,Adventure Fantasy Action Romance,9543,persia sandstorm brother against brother armageddon regent,en,Prince of Persia: The Sands of Time,high,19-05-2010,335154643,116.0,Released,Defy the Future,Prince of Persia: The Sands of Time,6.2,2317,Jake Gyllenhaal Gemma Arterton Ben Kingsley Alfred Molina Steve Toussaint,Mike Newell
51,180000000,Action Science Fiction Adventure,68726,dystopia giant robot giant monster apocalypse imax,en,Pacific Rim,mid,11-07-2013,407602906,131.0,Released,"To Fight Monsters, We Created Monsters",Pacific Rim,6.7,4794,Idris Elba Charlie Hunnam Charlie Day Ron Perlman Burn Gorman,Guillermo del Toro
52,195000000,Action Science Fiction Adventure,38356,moon spacecraft traitor bodyguard alien planet,en,Transformers: Dark of the Moon,mid,28-06-2011,1123746996,154.0,Released,The invasion we always feared. An enemy we never expected.,Transformers: Dark of the Moon,6.1,3299,Shia LaBeouf John Malkovich Ken Jeong Frances McDormand Josh Duhamel,Michael Bay
53,185000000,Adventure Action,217,saving the world riddle whip treasure mexico city,en,Indiana Jones and the Kingdom of the Crystal Skull,high,21-05-2008,786636033,122.0,Released,The adventure continues . . .,Indiana Jones and the Kingdom of the Crystal Skull,5.7,2495,Harrison Ford Cate Blanchett Shia LaBeouf Ray Winstone Karen Allen,Steven Spielberg
54,175000000,Adventure Animation Family,105864,tyrannosaurus rex friends alternate history dinosaur fear,en,The Good Dinosaur,mid,14-11-2015,331926147,93.0,Released,Little Arms With Big Attitude,The Good Dinosaur,6.6,1736,Raymond Ochoa Jack Bright Jeffrey Wright Frances McDormand Maleah Nipay-Padilla,Peter Sohn
55,185000000,Animation Adventure Comedy Family Action,62177,scotland rebel bravery kingdom archer,en,Brave,blockbuster,21-06-2012,538983207,93.0,Released,Change your fate.,Brave,6.7,4641,Kelly Macdonald Julie Walters Billy Connolly Emma Thompson Kevin McKidd,Brenda Chapman
56,185000000,Action Adventure Science Fiction,188927,sequel stranded hatred space opera,en,Star Trek Beyond,high,07-07-2016,343471816,122.0,Released,,Star Trek Beyond,6.6,2568,Chris Pine Zachary Quinto Karl Urban Simon Pegg Zoe Saldana,Justin Lin
57,180000000,Animation Family,10681,romantic comedy,en,WALL·E,high,22-06-2008,521311860,98.0,Released,An adventure beyond the ordinar-E.,WALL·E,7.8,6296,Ben Burtt Elissa Knight Jeff Garlin Fred Willard John Ratzenberger,Andrew Stanton
58,140000000,Action Comedy Crime Thriller,5174,ambassador,en,Rush Hour 3,mid,08-08-2007,258022233,91.0,Released,The Rush Is On!,Rush Hour 3,6.1,783,Chris Tucker Jackie Chan Hiroyuki Sanada Max von Sydow Yvan Attal,Brett Ratner
59,200000000,Action Adventure Science Fiction,14161,civilization natural disaster end of the world disaster apocalypse,en,2012,mid,10-10-2009,769653595,158.0,Released,We Were Warned.,2012,5.6,4903,John Cusack Amanda Peet Chiwetel Ejiofor Thandie Newton Oliver Platt,Roland Emmerich
60,200000000,Animation Drama,17979,holiday based on novel victorian england money christmas eve,en,A Christmas Carol,mid,04-11-2009,325233863,96.0,Released,Season's Greedings,A Christmas Carol,6.6,1095,Gary Oldman Jim Carrey Steve Valentine Daryl Sabara Sage Ryan,Robert Zemeckis
61,176000003,Science Fiction Fantasy Action Adventure,76757,jupiter space woman director 3d interspecies romance,en,Jupiter Ascending,high,04-02-2015,183987723,124.0,Released,Expand your universe.,Jupiter Ascending,5.2,2768,Mila Kunis Channing Tatum Sean Bean Eddie Redmayne Douglas Booth,Lilly Wachowski
62,180000000,Action Adventure,258489,africa feral child tarzan jungle animal attack,en,The Legend of Tarzan,mid,29-06-2016,356743061,109.0,Released,Human. Nature.,The Legend of Tarzan,5.5,2430,Alexander Skarsg\u00e5rd Margot Robbie Christoph Waltz Samuel L. Jackson Djimon Hounsou,David Yates
63,180000000,Adventure Family Fantasy,411,saving the world witch based on novel brother sister relationship self sacrifice,en,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",high,07-12-2005,748806957,143.0,Released,Evil Has Reigned For 100 Years...,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",6.7,2629,William Moseley Anna Popplewell Skandar Keynes Georgie Henley Liam Neeson,Andrew Adamson
64,178000000,Science Fiction,246655,mutant supernatural powers marvel comic superhero based on comic book,en,X-Men: Apocalypse,blockbuster,18-05-2016,543934787,144.0,Released,Only the strong will survive,X-Men: Apocalypse,6.4,4721,James McAvoy Michael Fassbender Jennifer Lawrence Nicholas Hoult Oscar Isaac,Bryan Singer
65,185000000,Drama Action Crime Thriller,155,dc comics crime fighter secret identity scarecrow sadism,en,The Dark Knight,blockbuster,16-07-2008,1004558444,152.0,Released,Why So Serious?,The Dark Knight,8.2,12002,Christian Bale Heath Ledger Aaron Eckhart Michael Caine Maggie Gyllenhaal,Christopher Nolan
66,175000000,Animation Comedy Family Adventure,14160,age difference central and south america balloon animation floating in the air,en,Up,high,13-05-2009,735099082,96.0,Released,,Up,7.7,6870,Ed Asner Christopher Plummer Jordan Nagai Bob Peterson Delroy Lindo,Pete Docter
67,175000000,Animation Family Adventure Science Fiction,15512,alien giant robot duringcreditsstinger,en,Monsters vs Aliens,mid,19-03-2009,381509870,94.0,Released,"When aliens attack, monsters fight back.",Monsters vs Aliens,6.0,1423,Seth Rogen Reese Witherspoon Hugh Laurie Paul Rudd Kiefer Sutherland,Conrad Vernon
68,140000000,Action Science Fiction Adventure,1726,middle east arms dealer malibu marvel comic superhero,en,Iron Man,blockbuster,30-04-2008,585174222,126.0,Released,Heroes aren't born. They're built.,Iron Man,7.4,8776,Robert Downey Jr. Terrence Howard Jeff Bridges Shaun Toub Gwyneth Paltrow,Jon Favreau
69,170000000,Adventure Drama Family,44826,library clock film director key toy,en,Hugo,mid,22-11-2011,185770160,126.0,Released,One of the most legendary directors of our time takes you on an extraordinary adventure.,Hugo,7.0,2141,Ben Kingsley Sacha Baron Cohen Asa Butterfield Chlo\u00eb Grace Moretz Ray Winstone,Martin Scorsese
70,170000000,Action Adventure Comedy Science Fiction Western,8487,steampunk based on tv series steam locomotive drag,en,Wild Wild West,mid,29-06-1999,222104681,106.0,Released,It's a whole new west.,Wild Wild West,5.1,1020,Will Smith Kevin Kline Kenneth Branagh Salma Hayek M. Emmet Walsh,Barry Sonnenfeld
71,145000000,Adventure Action Fantasy,1735,,en,The Mummy: Tomb of the Dragon Emperor,blockbuster,01-07-2008,401128639,112.0,Released,A New Evil Awakens.,The Mummy: Tomb of the Dragon Emperor,5.2,1387,Brendan Fraser Jet Li John Hannah Maria Bello Luke Ford,Rob Cohen
72,175000000,Action Adventure Crime Fantasy Science Fiction,297761,dc comics shared universe anti hero secret mission villain,en,Suicide Squad,high,02-08-2016,745000000,123.0,Released,Worst Heroes Ever,Suicide Squad,5.9,7458,Will Smith Margot Robbie Joel Kinnaman Viola Davis Jared Leto,David Ayer
73,175000000,Fantasy Comedy Family,2698,father son relationship daily life married couple support father,en,Evan Almighty,mid,09-06-2007,173000000,96.0,Released,A comedy of biblical proportions,Evan Almighty,5.3,1151,Steve Carell Lauren Graham John Goodman Jimmy Bennett John Michael Higgins,Tom Shadyac
74,178000000,Action Science Fiction,137113,deja vu time warp restart dystopia war,en,Edge of Tomorrow,high,27-05-2014,370541256,113.0,Released,"Live, Die, Repeat",Edge of Tomorrow,7.6,4858,Tom Cruise Emily Blunt Brendan Gleeson Bill Paxton Jonas Armstrong,Doug Liman
75,175000000,Adventure Action,9804,ocean tattoo mutant water dystopia,en,Waterworld,mid,28-07-1995,264218220,135.0,Released,Beyond the horizon lies the secret to a new beginning.,Waterworld,5.9,992,Kevin Costner Chaim Girafi Rick Aviles R. D. Call Zitto Kazann,Kevin Reynolds
76,175000000,Adventure Action Thriller Science Fiction,14869,terrorist secret hostage technology warhead,en,G.I. Joe: The Rise of Cobra,mid,04-08-2009,302469017,118.0,Released,"When all else fails, they don't.",G.I. Joe: The Rise of Cobra,5.6,1962,Dennis Quaid Channing Tatum Marlon Wayans Sienna Miller Joseph Gordon-Levitt,Stephen Sommers
77,175000000,Drama Comedy Animation Family,150540,dream cartoon imaginary friend animation family,en,Inside Out,blockbuster,09-06-2015,857611174,94.0,Released,Meet the little voices inside your head.,Inside Out,8.0,6560,Amy Poehler Phyllis Smith Richard Kind Bill Hader Lewis Black,Pete Docter
78,175000000,Family Adventure Drama Fantasy,278927,based on novel snake wolf elephant tiger,en,The Jungle Book,high,07-04-2016,966550600,106.0,Released,,The Jungle Book,6.7,2892,Neel Sethi Bill Murray Ben Kingsley Idris Elba Scarlett Johansson,Jon Favreau
79,200000000,Adventure Action Science Fiction,10138,malibu marvel comic superhero based on comic book revenge,en,Iron Man 2,high,28-04-2010,623933331,124.0,Released,"It's not the armor that makes the hero, but the man inside.",Iron Man 2,6.6,6849,Robert Downey Jr. Gwyneth Paltrow Don Cheadle Scarlett Johansson Mickey Rourke,Jon Favreau
80,170000000,Adventure Fantasy Drama,58595,queen magic fairy tale immortality forest,en,Snow White and the Huntsman,high,30-05-2012,396600000,127.0,Released,The Fairytale is Over,Snow White and the Huntsman,5.8,3118,Kristen Stewart Charlize Theron Chris Hemsworth Sam Claflin Ian McShane,Rupert Sanders
81,180000000,Fantasy Adventure Action Family Romance,102651,fairy tale villain sleeping beauty dark fantasy based on fairy tale,en,Maleficent,blockbuster,28-05-2014,758539785,97.0,Released,Don't believe the fairy tale.,Maleficent,7.0,4496,Angelina Jolie Elle Fanning Sharlto Copley Sam Riley Juno Temple,Robert Stromberg
82,170000000,Science Fiction Action Drama Thriller,119450,leader colony post-apocalyptic dystopia forest,en,Dawn of the Planet of the Apes,blockbuster,26-06-2014,710644566,130.0,Released,One last chance for peace.,Dawn of the Planet of the Apes,7.3,4410,Andy Serkis Jason Clarke Gary Oldman Keri Russell Toby Kebbell,Matt Reeves
83,27000000,Action Adventure Science Fiction Romance,79698,,en,The Lovers,low,13-02-2015,0,109.0,Released,Love is longer than life.,The Lovers,4.8,34,Josh Hartnett Simone Kessell Tamsin Egerton Alice Englert Bipasha Basu,Roland Joff\u00e9
84,175000000,Drama Action Adventure Fantasy,64686,japan suicide samurai based on true story samurai sword,en,47 Ronin,mid,06-12-2013,150962475,119.0,Released,For courage. For loyalty. For honor.,47 Ronin,5.9,1326,Keanu Reeves Hiroyuki Sanada Kou Shibasaki Tadanobu Asano Min Tanaka,Carl Rinsch
85,170000000,Action Adventure Science Fiction,100402,washington d.c. future shield marvel comic superhero,en,Captain America: The Winter Soldier,high,20-03-2014,714766572,136.0,Released,In heroes we trust.,Captain America: The Winter Soldier,7.6,5764,Chris Evans Samuel L. Jackson Scarlett Johansson Robert Redford Sebastian Stan,Anthony Russo
86,165000000,Comedy Adventure Fantasy Animation Family,10192,ogre 3d,en,Shrek Forever After,mid,16-05-2010,752600867,93.0,Released,It ain't Ogre... Til it's Ogre,Shrek Forever After,6.0,1959,Mike Myers Eddie Murphy Cameron Diaz Antonio Banderas Julie Andrews,Mike Mitchell
87,190000000,Adventure Family Mystery Science Fiction,158852,inventor apocalypse destiny imax dreamer,en,Tomorrowland,blockbuster,19-05-2015,209154322,130.0,Released,Imagine a world where nothing is impossible.,Tomorrowland,6.2,2846,Britt Robertson George Clooney Raffey Cassidy Thomas Robinson Hugh Laurie,Brad Bird
88,165000000,Adventure Family Animation Action Comedy,177572,brother brother relationship hero talent revenge best friend,en,Big Hero 6,blockbuster,24-10-2014,652105443,102.0,Released,From the creators of Wreck-it Ralph and Frozen,Big Hero 6,7.8,6135,Scott Adsit Ryan Potter Daniel Henney T.J. Miller Jamie Chung,Chris Williams
89,165000000,Family Animation Comedy Adventure,82690,support group product placement bullying racing arcade,en,Wreck-It Ralph,high,01-11-2012,471222889,108.0,Released,The story of a regular guy just looking for a little wreck-ognition.,Wreck-It Ralph,7.1,4570,John C. Reilly Sarah Silverman Jack McBrayer Jane Lynch Alan Tudyk,Rich Moore
90,165000000,Adventure Animation Family Fantasy,5255,santa claus nerd faith gift bell,en,The Polar Express,mid,10-11-2004,305875730,100.0,Released,This holiday season... believe.,The Polar Express,6.4,1474,Tom Hanks Michael Jeter Nona Gaye Peter Scolari Eddie Deezen,Robert Zemeckis
91,165000000,Action Adventure Science Fiction,47933,alternate history alien invasion,en,Independence Day: Resurgence,mid,22-06-2016,389681935,120.0,Released,We had twenty years to prepare. So did they.,Independence Day: Resurgence,4.9,2491,Liam Hemsworth Jeff Goldblum Bill Pullman Maika Monroe Sela Ward,Roland Emmerich
92,165000000,Fantasy Adventure Animation Family,10191,flying blacksmith arena island night,en,How to Train Your Dragon,high,05-03-2010,494878759,98.0,Released,One adventure will change two worlds,How to Train Your Dragon,7.5,4227,Jay Baruchel Gerard Butler Craig Ferguson America Ferrera Jonah Hill,Chris Sanders
